"customer_id","first_name","last_name","total"
5,"R                                                 ","Madhav                                            ","144.54000000000002"
6,"Helena                                            ","Holý                                              ","128.7"
46,"Hugh                                              ","O'Reilly                                          ","114.83999999999997"
58,"Manoj                                             ","Pareek                                            ","111.86999999999999"
1,"Luís                                              ","Gonçalves                                         ","108.89999999999998"
13,"Fernanda                                          ","Ramos                                             ","106.91999999999999"
34,"João                                              ","Fernandes                                         ","102.96000000000001"
3,"François                                          ","Tremblay                                          ","99.99"
42,"Wyatt                                             ","Girard                                            ","99.99"
50,"Enrique                                           ","Muñoz                                             ","98.01"
17,"Jack                                              ","Smith                                             ","98.01"
53,"Phil                                              ","Hughes                                            ","98.01"
57,"Luis                                              ","Rojas                                             ","97.02000000000001"
20,"Dan                                               ","Miller                                            ","95.03999999999999"
37,"Fynn                                              ","Zimmermann                                        ","94.05000000000001"
22,"Heather                                           ","Leacock                                           ","92.07000000000001"
21,"Kathy                                             ","Chase                                             ","91.08000000000001"
30,"Edward                                            ","Francis                                           ","91.08"
26,"Richard                                           ","Cunningham                                        ","86.13000000000002"
36,"Hannah                                            ","Schneider                                         ","85.14"
27,"Patrick                                           ","Gray                                              ","84.14999999999999"
12,"Roberto                                           ","Almeida                                           ","82.17"
2,"Leonie                                            ","Köhler                                            ","82.17"
35,"Madalena                                          ","Sampaio                                           ","82.17"
55,"Mark                                              ","Taylor                                            ","81.18"
54,"Steve                                             ","Murray                                            ","79.2"
18,"Michelle                                          ","Brooks                                            ","79.2"
39,"Camille                                           ","Bernard                                           ","79.2"
44,"Terhi                                             ","Hämäläinen                                        ","79.2"
45,"Ladislav                                          ","Kovács                                            ","78.21"
25,"Victor                                            ","Stevens                                           ","76.23"
49,"Stanisław                                         ","Wójcik                                            ","76.22999999999999"
33,"Ellie                                             ","Sullivan                                          ","75.24000000000001"
51,"Joakim                                            ","Johansson                                         ","75.24"
16,"Frank                                             ","Harris                                            ","74.25"
38,"Niklas                                            ","Schröder                                          ","73.25999999999999"
43,"Isabelle                                          ","Mercier                                           ","73.25999999999999"
4,"Bjørn                                             ","Hansen                                            ","72.27000000000001"
28,"Julia                                             ","Barnett                                           ","72.27"
40,"Dominique                                         ","Lefebvre                                          ","72.27"
59,"Puja                                              ","Srivastava                                        ","71.28"
24,"Frank                                             ","Ralston                                           ","71.28"
32,"Aaron                                             ","Mitchell                                          ","70.28999999999999"
7,"Astrid                                            ","Gruber                                            ","69.3"
11,"Alexandre                                         ","Rocha                                             ","69.3"
52,"Emma                                              ","Jones                                             ","68.31"
15,"Jennifer                                          ","Peterson                                          ","66.33"
23,"John                                              ","Gordon                                            ","66.33"
48,"Johannes                                          ","Van der Berg                                      ","65.34"
41,"Marc                                              ","Dubois                                            ","64.35"
31,"Martha                                            ","Silk                                              ","62.370000000000005"
10,"Eduardo                                           ","Martins                                           ","60.39"
8,"Daan                                              ","Peeters                                           ","60.38999999999999"
19,"Tim                                               ","Goyer                                             ","54.449999999999996"
47,"Lucas                                             ","Mancini                                           ","50.49"
29,"Robert                                            ","Brown                                             ","40.59"
56,"Diego                                             ","Gutiérrez                                         ","39.6"
9,"Kara                                              ","Nielsen                                           ","37.61999999999999"
14,"Mark                                              ","Philips                                           ","29.699999999999996"
